[22:52:11] [main/INFO]: ModLauncher running: args [--username, Mirakuru_Myuujik, --version, forge-47.4.0, --gameDir, V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus, --assetsDir, V:\Minecraft Schenanigans\Curseforge\Install\assets, --assetIndex, 5, --uuid, 9650f2624ceb415cb0e03dca0f42f782, --accessToken, ????????, --clientId, d7bde2-49c390-ec9922-4156d1-d7fa60, --xuid, 2535457944480846, --userType, msa, --versionType, release, --width, 1024, --height, 768, --quickPlayPath, V:\Minecraft Schenanigans\Curseforge\Quickplay\8dacfa6e-cd53-4e94-9869-c2e68476f0eb.json, , , , --launchTarget, forgeclient, --fml.forgeVersion, 47.4.0, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[22:52:11] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.17 by Eclipse Adoptium; OS Windows 11 arch amd64 version 10.0
[22:52:12] [main/INFO]: Loading ImmediateWindowProvider fmlearlywindow
[22:52:12] [main/INFO]: Trying GL version 4.6
[22:52:12] [main/INFO]: Requested GL version 4.6 got version 4.6
[22:52:12] [main/INFO]: LOADING STAGE 1 - Services Initializing
[22:52:12] [main/INFO]: LOADING STAGE <Services Initializing> elapsed 3 ms
[22:52:12] [main/INFO]: LOADING STAGE 2 - Services Loading
[22:52:12] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/V:/Minecraft%20Schenanigans/Curseforge/Install/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%23100!/ Service=ModLauncher Env=CLIENT
[22:52:12] [main/INFO]: LOADING STAGE <Services Loading> elapsed 65 ms
[22:52:12] [main/INFO]: LOADING STAGE 3 - Mod Scanning
[22:52:12] [pool-2-thread-1/INFO]: GL info: AMD Radeon RX 6600 XT GL version 4.6.0 Core Profile Context 25.12.1.251128, ATI Technologies Inc.
[22:52:12] [main/INFO]: Found 1 dependencies adding them to mods collection
[22:52:12] [main/INFO]: Found mod file lpcore-0.5.8.jar of type MOD with provider dev.xkmc.loadingprofiler.bootstrap.ServiceJiJLocator@78e89bfe
[22:52:12] [main/INFO]: Found mod file accessories-neoforge-1.0.0-beta.48+1.20.1.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file accessories_cclayer-7.4.0-beta.18+1.20.1.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file Ad-Astra-Giselle-Addon-forge-1.20.1-6.20.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file ad_astra-forge-1.20.1-1.15.20.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file AdvancedAE-1.3.2-1.20.1.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file AE2-Things-1.2.1.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file AE2MEGAThings-1.20.1-1.0.8.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file ae2wtlib-15.3.3-forge.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file alltheleaks-1.1.1+1.20.1-forge.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file Almost_no_height_limit_v1.2.1.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file almostunified-forge-1.20.1-0.11.0.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file appleskin-forge-mc1.20.1-2.5.1.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file appliedenergistics2-forge-15.4.10.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file architectury-9.2.14-forge.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file ars_botania-1.1.2-all.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file ars_elemental-1.20.1-0.6.7.8.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file ars_nouveau-1.20.1-4.12.7-all.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file BadOptimizations-2.4.1-1.20.1.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file baguettelib-1.20.1-Forge-1.1.5.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
